age,religion,community,income,gender,segment,scheme,link
52,hindu,bc,1222000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
54,hindu,bc,656000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
41,others,bc,1009000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
58,muslim,bc,916000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
50,hindu,mbc,831000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
51,muslim,bc,1156000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
37,hindu,bc,580000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
37,muslim,mbc,1801000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
57,hindu,bc,605000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
28,muslim,mbc,1466000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
45,hindu,bc,1383000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
35,hindu,mbc,1260000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
45,muslim,mbc,1733000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
55,muslim,bc,1100000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
46,others,bc,623000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
39,hindu,mbc,1245000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
54,others,mbc,791000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
35,hindu,bc,1902000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
44,others,mbc,612000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
45,muslim,mbc,764000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
27,muslim,mbc,1454000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
55,others,bc,1901000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
40,hindu,mbc,853000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
32,others,bc,1039000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
42,christian,mbc,1328000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
29,others,mbc,637000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
36,muslim,bc,1906000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
32,hindu,mbc,548000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
59,hindu,mbc,817000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
37,others,mbc,608000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
36,hindu,mbc,759000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
36,hindu,bc,1224000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
42,christian,bc,1994000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
55,christian,bc,1816000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
29,muslim,mbc,531000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
43,others,bc,501000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
46,others,bc,1185000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
46,christian,mbc,1715000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
29,muslim,bc,1761000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
26,others,bc,1272000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
41,hindu,bc,1954000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
46,muslim,mbc,727000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
55,others,mbc,1632000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
34,christian,mbc,1785000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
51,others,mbc,978000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
35,muslim,bc,969000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
39,hindu,mbc,1697000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
53,christian,bc,1324000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
44,christian,mbc,708000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
46,christian,mbc,1831000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
28,muslim,mbc,621000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
53,christian,bc,1383000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
36,hindu,bc,1246000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
51,hindu,mbc,1413000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
56,muslim,bc,912000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
30,hindu,bc,1547000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
42,hindu,bc,1501000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
31,christian,mbc,807000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
37,muslim,mbc,1195000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
36,hindu,bc,1866000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
53,hindu,mbc,914000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
28,christian,mbc,751000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
33,hindu,bc,1396000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
48,muslim,mbc,1119000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
33,christian,mbc,995000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
40,hindu,bc,1393000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
33,muslim,mbc,1222000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
34,hindu,bc,1966000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
38,christian,mbc,1064000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
31,christian,bc,1528000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
30,christian,mbc,1351000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
57,muslim,mbc,1315000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
28,others,mbc,756000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
31,muslim,bc,1422000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
41,hindu,mbc,1006000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
59,others,bc,1587000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
56,muslim,bc,947000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
54,others,mbc,506000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
47,others,bc,1703000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
60,christian,bc,577000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
30,muslim,bc,800000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
57,muslim,mbc,1627000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
46,muslim,bc,758000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
39,others,bc,681000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
56,others,mbc,1242000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
29,hindu,bc,580000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
38,christian,bc,897000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
42,christian,bc,549000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
50,hindu,bc,985000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
42,others,mbc,859000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
25,muslim,mbc,894000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
48,hindu,bc,717000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
31,hindu,bc,1358000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
29,others,mbc,859000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
29,others,mbc,1853000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
59,hindu,mbc,741000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
25,muslim,bc,1822000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
28,muslim,bc,1137000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
58,others,mbc,725000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
55,others,mbc,518000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
57,hindu,mbc,1484000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
53,others,bc,1550000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
49,muslim,mbc,1359000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
45,christian,bc,1990000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
53,others,bc,815000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
40,christian,bc,979000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
26,christian,bc,782000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
52,hindu,mbc,764000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
33,christian,bc,1847000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
40,others,mbc,1817000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
53,muslim,bc,1565000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
44,christian,mbc,1676000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
59,others,bc,1181000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
51,muslim,bc,1693000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
35,muslim,mbc,1805000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
54,hindu,mbc,1209000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
29,others,bc,1402000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
43,others,bc,1948000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
53,hindu,bc,1349000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
28,christian,mbc,659000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
43,others,mbc,625000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
41,muslim,bc,556000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
42,muslim,bc,1042000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
55,others,mbc,682000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
60,hindu,bc,628000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
42,others,bc,1090000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
42,hindu,bc,548000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
49,hindu,mbc,939000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
27,others,bc,756000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
43,christian,bc,1660000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
43,christian,bc,834000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
56,muslim,bc,1146000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
41,hindu,mbc,1181000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
43,hindu,bc,947000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
39,muslim,mbc,701000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
33,hindu,bc,932000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
45,christian,mbc,1280000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
44,others,mbc,1760000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
31,christian,mbc,797000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
44,christian,mbc,774000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
46,others,mbc,650000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
42,christian,bc,1816000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
56,christian,bc,1792000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
35,muslim,bc,789000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
30,hindu,bc,1805000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
49,others,bc,1795000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
48,muslim,mbc,1262000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
39,others,bc,1661000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
26,christian,mbc,1708000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
54,hindu,bc,1628000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
40,hindu,mbc,1026000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
39,others,bc,868000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
52,hindu,bc,1968000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
47,others,bc,1129000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
59,others,bc,1869000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
51,others,mbc,669000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
27,hindu,mbc,1565000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
57,others,mbc,1745000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
45,hindu,bc,1485000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
29,christian,mbc,697000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
49,others,mbc,1101000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
53,hindu,mbc,739000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
58,hindu,mbc,1102000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
41,others,mbc,526000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
26,christian,bc,604000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
59,christian,bc,1126000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
57,hindu,bc,690000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
51,hindu,mbc,1938000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
32,muslim,mbc,1296000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
25,christian,mbc,1448000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
44,muslim,bc,672000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
60,muslim,mbc,1093000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
30,christian,bc,1836000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
59,hindu,bc,703000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
34,hindu,bc,771000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
36,muslim,bc,1479000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
36,christian,mbc,896000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
33,hindu,bc,900000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
55,others,bc,686000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
48,others,bc,721000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
49,others,mbc,1426000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
55,others,mbc,1385000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
36,muslim,mbc,1172000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
29,hindu,mbc,882000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
48,others,mbc,1260000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
56,hindu,mbc,1818000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
38,others,bc,1896000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
27,christian,bc,1988000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
37,muslim,bc,1169000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
28,muslim,bc,1355000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
25,others,bc,894000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
42,christian,bc,688000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
34,hindu,bc,1806000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
52,others,bc,770000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
40,muslim,mbc,1912000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
45,muslim,mbc,1165000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
35,christian,bc,513000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
51,muslim,mbc,820000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
37,muslim,mbc,1346000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
46,christian,mbc,1433000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
35,others,mbc,506000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
39,others,bc,1193000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
35,others,mbc,1963000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
